 , ,Clavicle Temp,Forearm Temp,Finger Temp, , 
Sel Start,Sel End,Mean,Mean,Mean,Sel Start,Sel End
s,s,°C,°C,°C,s,s
30263.82827,30293.82727,33.8,33.4,32.40,08:24:24,08:24:54
30293.82827,30323.82727,33.8,33.5,32.81,08:24:54,08:25:24
30323.82827,30335.52727,33.8,33.5,33.15,08:25:24,08:25:36
30343.65078,30373.64978,33.8,33.5,33.55,08:25:44,08:26:14
30373.65078,30403.64978,33.8,33.5,33.67,08:26:14,08:26:44
30403.65078,30433.64978,33.8,33.5,33.66,08:26:44,08:27:14
30433.65078,30463.64978,33.8,33.5,33.62,08:27:14,08:27:44
30463.65078,30493.64978,33.8,33.5,33.58,08:27:44,08:28:14
30493.65078,30523.64978,33.8,33.5,33.52,08:28:14,08:28:44
30523.65078,30553.64978,33.8,33.5,33.48,08:28:44,08:29:14
30553.65078,30583.64978,33.9,33.5,33.44,08:29:14,08:29:44
30583.65078,30613.64978,33.9,33.5,33.41,08:29:44,08:30:14
30613.65078,30643.64978,33.9,33.6,33.41,08:30:14,08:30:44
30643.65078,30673.64978,33.8,33.6,33.42,08:30:44,08:31:14
30673.65078,30703.64978,33.8,33.6,33.37,08:31:14,08:31:44
30703.65078,30733.64978,33.9,33.6,33.33,08:31:44,08:32:14
30733.65078,30763.64978,33.9,33.6,33.26,08:32:14,08:32:44
30763.65078,30793.64978,33.9,33.6,33.16,08:32:44,08:33:14
30793.65078,30823.64978,33.9,33.6,33.08,08:33:14,08:33:44
30823.65078,30853.64978,33.9,33.6,33.07,08:33:44,08:34:14
30853.65078,30883.64978,33.9,33.6,33.22,08:34:14,08:34:44
30883.65078,30913.64978,33.9,33.6,33.48,08:34:44,08:35:14
30913.65078,30943.64978,33.9,33.6,33.57,08:35:14,08:35:44
30943.65078,30973.64978,33.8,33.6,33.56,08:35:44,08:36:14
30973.65078,31003.64978,33.8,33.6,33.49,08:36:14,08:36:44
31003.65078,31033.64978,33.8,33.6,33.41,08:36:44,08:37:14
31033.65078,31063.64978,33.8,33.6,33.35,08:37:14,08:37:44
31063.65078,31093.64978,33.8,33.6,33.26,08:37:44,08:38:14
31093.65078,31123.64978,33.8,33.6,33.17,08:38:14,08:38:44
31123.65078,31153.64978,33.8,33.6,33.10,08:38:44,08:39:14
31153.65078,31183.64978,33.8,33.6,33.12,08:39:14,08:39:44
31183.65078,31213.64978,33.8,33.6,33.11,08:39:44,08:40:14
31213.65078,31243.64978,33.8,33.6,33.08,08:40:14,08:40:44
31243.65078,31273.64978,33.8,33.6,33.01,08:40:44,08:41:14
31273.65078,31303.64978,33.8,33.6,32.89,08:41:14,08:41:44
31303.65078,31333.64978,33.8,33.6,32.79,08:41:44,08:42:14
